iter	Passed	Remaining
732	3301	1202
733	3307	1198
734	3314	1194
735	3319	1190
736	3322	1185
737	3326	1180
738	3334	1177
739	3341	1174
740	3346	1169
741	3352	1165
742	3354	1160
743	3357	1155
744	3360	1150
745	3365	1145
746	3368	1140
747	3372	1136
748	3375	1131
749	3379	1126
750	3384	1121
751	3387	1117
752	3390	1112
753	3393	1107
754	3397	1102
755	3400	1097
756	3405	1093
757	3409	1088
758	3412	1083
759	3415	1078
760	3419	1073
761	3423	1069
762	3427	1064
763	3431	1059
764	3435	1055
765	3439	1050
766	3443	1046
767	3448	1041
768	3450	1036
769	3454	1031
770	3457	1026
771	3460	1022
772	3464	1017
773	3468	1012
774	3471	1007
775	3475	1003
776	3479	998
777	3482	993
778	3485	988
779	3489	984
780	3494	979
781	3498	975
782	3502	970
783	3509	966
784	3513	962
785	3517	957
786	3520	952
787	3525	948
788	3529	943
789	3533	939
790	3536	934
791	3540	929
792	3545	925
793	3549	920
794	3554	916
795	3560	912
796	3563	907
797	3568	903
798	3570	898
799	3573	893
800	3576	888
801	3579	883
802	3581	878
803	3583	873
804	3586	868
805	3591	864
806	3595	859
807	3599	855
808	3603	850
809	3607	846
810	3611	841
811	3615	837
812	3620	832
813	3624	828
814	3628	823
815	3632	819
816	3636	814
817	3640	810
818	3644	805
819	3648	800
820	3652	796
821	3655	791
822	3660	787
823	3663	782
824	3667	777
825	3671	773
826	3672	768
827	3675	763
828	3680	759
829	3684	754
830	3689	750
831	3693	745
832	3697	741
833	3702	736
834	3707	732
835	3711	728
836	3716	723
837	3719	718
838	3724	714
839	3730	710
840	3733	705
841	3739	701
842	3743	697
843	3747	692
844	3753	688
845	3757	683
846	3760	679
847	3762	674
848	3767	670
849	3770	665
850	3772	660
851	3777	656
852	3782	651
853	3787	647
854	3792	643
855	3795	638
856	3800	634
857	3802	629
858	3806	624
859	3808	620
860	3813	615
861	3817	611
862	3820	606
863	3824	601
864	3827	597
865	3831	592
866	3835	588
867	3837	583
868	3842	579
869	3844	574
870	3848	570
871	3853	565
872	3857	561
873	3862	556
874	3868	552
875	3872	548
876	3875	543
877	3882	539
878	3887	535
879	3891	530
880	3896	526
881	3900	521
882	3903	517
883	3907	512
884	3910	508
885	3913	503
886	3918	499
887	3920	494
888	3923	489
889	3926	485
890	3931	480
891	3935	476
892	3938	471
893	3942	467
894	3945	462
895	3948	458
896	3952	453
897	3956	449
898	3962	445
899	3965	440
900	3969	436
901	3973	431
902	3977	427
903	3981	422
904	3983	418
905	3988	413
906	3993	409
907	3997	405
908	4000	400
909	4004	396
910	4009	391
911	4013	387
912	4018	382
913	4024	378
914	4029	374
915	4031	369
916	4035	365
917	4038	360
918	4041	356
919	4045	351
920	4050	347
921	4053	342
922	4057	338
923	4060	334
924	4063	329
925	4066	324
926	4070	320
927	4075	316
928	4078	311
929	4083	307
930	4087	302
931	4091	298
932	4094	294
933	4096	289
934	4100	285
935	4104	280
936	4108	276
937	4113	271
938	4120	267
939	4123	263
940	4126	258
941	4129	254
942	4136	250
943	4139	245
944	4143	241
945	4147	236
946	4152	232
947	4154	227
948	4157	223
949	4163	219
950	4165	214
951	4171	210
952	4176	205
953	4180	201
954	4184	197
955	4187	192
956	4189	188
957	4192	183
958	4196	179
959	4200	175
960	4205	170
961	4211	166
962	4216	161
963	4219	157
964	4225	153
965	4230	148
966	4234	144
967	4238	140
968	4240	135
969	4246	131
970	4251	126
971	4257	122
972	4261	118
973	4263	113
974	4265	109
975	4267	104
976	4269	100
977	4272	96
978	4276	91
979	4281	87
980	4283	82
981	4285	78
982	4289	74
983	4294	69
984	4296	65
985	4300	61
986	4303	56
987	4311	52
988	4314	47
989	4317	43
990	4322	39
991	4327	34
992	4328	30
993	4333	26
994	4337	21
995	4340	17
996	4343	13
997	4348	8
998	4351	4
999	4353	0
